province_name,city_name,district_name,subdistrict_name,lat_long,avg_demand_baseline,demand_target
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,"-6.13727,106.7153587",57,85.5
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,"-6.1385859,106.7293052",33,49.5
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,"-6.1715044,106.7056503",25,37.5
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,CENGKARENG,RAWA BUAYA,"-6.1613339,106.7294525",40,60
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,GROGOL PETAMBURAN,GROGOL,"-6.159495,106.7897422",153,229.5
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,"-6.1489554,106.7786787",34,51
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,"-6.1596599,106.7774288",21,31.5
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,"-6.1792899,106.7805888",50,75
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,"-6.1751649,106.7757888",32,48
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,"-6.1728249,106.7878793",101,151.5
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,TAMAN SARI,GLODOK,"-6.1446599,106.809052",53,79.5
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,TAMAN SARI,MANGGA BESAR,"-6.14496,106.8135419",37,55.5
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,TAMAN SARI,PINANGSIA,"-6.136439,106.8083508",7,10.5
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,TAMAN SARI,TAMAN SARI,"-6.1461655,106.8105983",19,28.5
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,TAMBORA,DURI SELATAN,"-6.159104,106.8003869",23,34.5
DKI JAKARTA,KOTA ADMINISTRASI JAKARTA BARAT,TAMBORA,DURI UTARA,"-6.159104,106.8003869",10,15
